name,lat,lon,odo1,odo2,odo3,hgt,odo
10,23.92543706,72.35776615,33,92,100,87,100
20,23.92545064,72.35777027,33,93,101,87,101
30,23.9255569,72.35780307,42,106,114,87,114
40,23.92566465,72.3578361,44,127,134,87,134
50,23.92567413,72.35783894,58,155,162,87,162
60,23.92568482,72.35784212,82,204,212,87,212
70,23.92569533,72.35784526,84,209,216,87,216
80,23.92570384,72.3578478,90,220,228,87,228
90,23.92572706,72.35785464,96,233,240,87,240
100,23.92582779,72.3578967,127,280,287,87,287
110,23.9259183,72.3579467,149,325,332,87,332
120,23.92601787,72.35800181,173,374,380,87,380
130,23.92605023,72.35801967,181,389,396,87,396
140,23.92614301,72.35806961,203,435,441,87,441
150,23.92624362,72.35811189,226,482,489,87,489
160,23.92632578,72.35813822,245,519,526,87,526
170,23.92643332,72.35817231,269,568,575,87,575
180,23.92653749,72.35820553,293,616,623,87,623
190,23.92664128,72.35823838,317,663,670,87,670
200,23.92674941,72.35827257,341,712,719,87,719
210,23.92685279,72.35830536,365,760,767,87,767
230,23.92706033,72.35837044,412,854,862,87,862
240,23.92716391,72.35840291,436,901,909,87,909
250,23.92727024,72.35843598,460,950,957,87,957
260,23.92737318,72.35846798,484,997,1004,87,1004
270,23.92747618,72.35849997,507,1043,1051,87,1051
280,23.92757982,72.35853185,531,1091,1098,87,1098
290,23.9276783,72.35856231,553,1136,1143,87,1143
300,23.92778572,72.35859568,578,1184,1192,87,1192
310,23.92789403,72.3586292,602,1234,1242,87,1242
320,23.92800269,72.35866287,627,1283,1291,87,1291
330,23.9281017,72.35869384,649,1328,1337,87,1337
340,23.92820547,72.35872602,680,1376,1384,87,1384
350,23.92830934,72.35875815,712,1423,1431,87,1431
360,23.92841675,72.35879133,756,1472,1480,87,1480
370,23.92852027,72.35882328,781,1519,1527,87,1527
380,23.92862406,72.35885514,815,1566,1574,87,1574
390,23.92872761,72.35888699,847,1613,1621,87,1621
400,23.92883386,72.35891967,875,1661,1669,87,1669
410,23.92893762,72.35895176,898,1709,1717,87,1717
420,23.92904652,72.35898561,924,1758,1766,87,1766
430,23.92915431,72.3590193,949,1807,1815,87,1815
440,23.92926181,72.35905299,974,1856,1864,87,1864
450,23.92936487,72.35908508,998,1903,1911,87,1911
460,23.9294709,72.35911825,1023,1951,1959,87,1959
470,23.92957431,72.35915036,1055,1998,2006,87,2006
480,23.92968266,72.35918414,1104,2047,2056,87,2056
490,23.92978583,72.35921641,1151,2094,2103,87,2103
500,23.92988591,72.35924778,1195,2140,2148,87,2148
510,23.92999343,72.35928194,1225,2189,2197,87,2197
520,23.9300968,72.35931516,1252,2236,2245,87,2245
530,23.93020336,72.35934896,1277,2285,2293,87,2293
540,23.93025126,72.35936399,1289,2306,2315,87,2315
550,23.93030526,72.35938048,1301,2331,2340,87,2340
560,23.93036792,72.35939951,1319,2359,2368,87,2368
570,23.93046742,72.35943076,1341,2405,2413,87,2413
580,23.93057025,72.35946394,1366,2452,2461,87,2461
590,23.93065929,72.35949204,1390,2492,2501,87,2501
600,23.93075717,72.35952231,1413,2537,2546,87,2546
610,23.93086455,72.35955588,1440,2586,2595,87,2595
620,23.93096748,72.35958798,1468,2633,2642,87,2642
630,23.93107239,72.35962124,1500,2680,2690,87,2690
640,23.93117646,72.3596542,1528,2728,2737,87,2737
650,23.93128391,72.35968829,1556,2777,2786,87,2786
660,23.93139114,72.35972202,1584,2826,2835,87,2835
670,23.93149013,72.35975303,1608,2871,2880,87,2880
680,23.9315937,72.35978509,1632,2918,2927,87,2927
690,23.93169742,72.35981761,1656,2965,2975,87,2975
700,23.93180078,72.35984996,1680,3012,3022,87,3022
710,23.93190324,72.35988201,1703,3059,3069,87,3069
720,23.93199901,72.35991223,1725,3103,3113,87,3113
730,23.93210226,72.35994487,1749,3150,3160,87,3160
740,23.93220825,72.35997888,1773,3199,3208,87,3208
750,23.93231117,72.36001187,1797,3246,3255,87,3255
760,23.93241425,72.36004479,1821,3293,3302,87,3302
770,23.93251779,72.3600777,1845,3340,3350,87,3350
780,23.93261956,72.36011038,1868,3387,3397,87,3397
790,23.93271525,72.36014132,1890,3431,3441,87,3441
800,23.9327666,72.36015781,1901,3454,3464,87,3464
810,23.93286959,72.36019078,1925,3501,3511,87,3511
820,23.9329199,72.36020701,1936,3524,3534,87,3534
830,23.93302267,72.36024046,1975,3571,3581,87,3581
840,23.93312947,72.3602754,2024,3621,3630,87,3630
850,23.93323562,72.36030909,2072,3669,3679,87,3679
860,23.93333862,72.36034094,2102,3716,3726,87,3726
870,23.93344149,72.36037344,2126,3763,3773,87,3773
880,23.93354519,72.36040653,2151,3811,3821,87,3821
890,23.93364854,72.36043954,2175,3858,3868,87,3868
900,23.93375177,72.36047241,2203,3905,3915,87,3915
910,23.93385564,72.36050565,2228,3952,3963,87,3963
920,23.93395946,72.36053879,2252,3999,4010,87,4010
930,23.93406303,72.36057168,2275,4046,4057,87,4057
940,23.93416672,72.36060476,2299,4093,4105,87,4105
950,23.93427065,72.36063829,2330,4141,4152,87,4152
960,23.93437827,72.36067311,2360,4190,4201,87,4201
970,23.93448638,72.36070752,2392,4239,4251,87,4251
980,23.9345897,72.36074005,2417,4286,4298,87,4298
990,23.93469717,72.36077404,2452,4335,4347,87,4347
1000,23.93480525,72.36080818,2482,4383,4396,87,4396
1010,23.93490513,72.36083987,2519,4429,4442,87,4442
1020,23.9350047,72.36087162,2551,4475,4488,87,4488
1030,23.93511222,72.36090582,2600,4524,4537,87,4537
1040,23.93521953,72.36094058,2643,4573,4586,87,4586
1050,23.93532328,72.36097414,2682,4620,4633,87,4633
1060,23.935427,72.36100726,2715,4667,4681,87,4681
1070,23.93552994,72.36104017,2756,4714,4728,87,4728
1080,23.93563816,72.36107471,2785,4763,4777,87,4777
1090,23.93574155,72.36110748,2811,4811,4825,87,4825
1100,23.93584324,72.36114001,2834,4857,4871,87,4871
1110,23.93594628,72.36117339,2862,4904,4918,87,4918
1120,23.93604909,72.36120658,2889,4951,4965,87,4965
1130,23.93614959,72.36123885,2914,4996,5011,87,5011
1140,23.93624855,72.36127008,2937,5041,5056,87,5056
1150,23.9363566,72.36130356,2965,5090,5106,87,5106
1160,23.93646,72.36133519,2989,5137,5153,87,5153
1170,23.93656504,72.3613677,3013,5185,5201,87,5201
1180,23.93667277,72.36140182,3037,5234,5250,87,5250
1190,23.93677599,72.36143462,3061,5281,5297,87,5297
1200,23.93688208,72.36146838,3085,5329,5345,87,5345
1210,23.93698069,72.36149949,3107,5374,5390,87,5390
1220,23.93708414,72.361532,3131,5421,5438,87,5438
1230,23.93718812,72.36156506,3154,5468,5485,87,5485
1240,23.93728717,72.36159655,3177,5513,5530,87,5530
1250,23.93739108,72.36162937,3200,5560,5578,87,5578
1260,23.9374944,72.36166169,3226,5607,5625,87,5625
1270,23.93759806,72.36169423,3250,5655,5672,87,5672
1280,23.9377018,72.36172684,3277,5702,5719,87,5719
1290,23.93780571,72.36175972,3300,5749,5767,87,5767
1300,23.93791299,72.36179379,3325,5798,5816,87,5816
1310,23.9380166,72.36182653,3348,5845,5863,87,5863
1320,23.93811983,72.36185928,3372,5891,5910,87,5910
1330,23.93822726,72.36189331,3397,5940,5959,87,5959
1340,23.93833085,72.3619261,3422,5987,6006,87,6006
1350,23.93843137,72.36195802,3444,6033,6052,87,6052
1360,23.93852696,72.36198816,3471,6077,6096,87,6096
1370,23.93863054,72.3620207,3504,6124,6143,87,6143
